,Offence,Punjab,Sindh,KP,Balochistan,Islamabad,Railways,G.B,AJK,Pakistan,Year
2,Murder,3914,1409,2361,325,84,6,61,75,8235,2017
3,Attempt to Murder,4440,1644,2641,333,163,5,94,179,9499,2017
4,Kidnapping /Abduction,13558,2927,1197,248,99,7,48,279,18363,2017
5,Dacocity,602,572,45,38,16,1,4,2,1280,2017
6,Robbery,9385,2364,276,185,195,4,15,34,12458,2017
7,Burglary,11023,1344,798,135,253,1,63,216,13833,2017
8,Cattle Theft,4721,383,126,39,22,0,17,34,5342,2017
9,Other Theft,33053,2221,882,272,506,234,64,72,37304,2017
10,Others,325149,57409,172504,7917,5798,1270,1370,6194,577611,2017
13,Murder,4017,1308,2320,352,103,2,76,63,8241,2018
14,Attempt to Murder,5093,1590,2628,348,171,1,89,147,10067,2018
15,Kidnapping /Abduction,14981,3167,1188,269,123,3,38,291,20060,2018
16,Dacocity,793,509,39,28,39,0,2,4,1414,2018
17,Robbery,11128,2959,271,151,351,3,12,39,14914,2018
18,Burglary,11425,1560,823,158,373,0,110,197,14646,2018
19,Cattle Theft,5569,352,155,58,32,0,33,34,6233,2018
20,Other Theft,34572,2636,889,290,574,300,66,91,39418,2018
21,Others,323456,69252,171230,7109,7699,1420,1437,6885,588488,2018
24,Murder,3931,1312,2334,340,89,8,67,72,8153,2019
25,Attempt to Murder,5446,1624,2543,343,203,5,94,180,10438,2019
26,Kidnapping /Abduction,15188,3111,1126,333,176,3,54,265,20256,2019
27,Dacocity,786,502,40,27,20,2,2,3,1382,2019
28,Robbery,14236,3085,353,151,356,8,12,38,18239,2019
29,Burglary,12680,1772,763,219,297,0,139,254,16124,2019
30,Cattle Theft,7060,415,156,47,55,1,24,35,7793,2019
31,Other Theft,50390,3067,906,353,603,348,83,86,55836,2019
32,Others,380596,72274,169888,7649,7949,1505,1508,6747,648118,2019
